Country	City	IATA Code
Netherlands	Amsterdam	AMS
United Arab Emirates	Abu Dhabi	AUH
Bahrain	Bahrain	BAH
United Kingdom	Birmingham	BHX
Australia	Brisbane	BNE
France	Bordeaux	BOD
India	Bombay	BOM
Belgium	Brussels	BRU
Egypt	Cairo	CAI
Indonesia	Jakarta	CGK
Germany	Cologne	CGN
Sri Lanka	Colombo	CMB
Morocco	Casablanca	CMN
South Africa	Cape Town	CPT
Bangladesh	Dhaka	DAC
China	Dalian	DLC
Qatar	Doha	DOH
United Arab Emirates	Dubai	DXB
Uganda	Entebbe	EBB
France	Fort-de-France	FDF
Germany	Frankfurt	FRA
Germany	Hamburg	HAM
Korea South	Incheon	ICN
"	United States"	Jacksonville	JAX
United Kingdom	London	LHR
France	Lille/Lesquin	LIL
India	Chennai	MAA
United Kingdom	Manchester	MAN
"	United States"	Chicago	ORD
Saudi Arabia	Riyadh	RUH
Vietnam	Ho Chi Minh City	SGN
Germany	Stuttgart	STR
Canada	Calgary	YYC
